customer_id,total_value_sum,total_value_mean,total_value_median,price_mean,price_median,quantity_mean,quantity_sum,recency_days_mean,recency_days_min,age_median,tenure_months_max,tenure_months_median,vader_compound_mean,vader_compound_median,vader_compound_max,vader_compound_min,vader_pos_mean,vader_neg_mean,vader_neu_mean,region,segment,gender,category,sentiment_clean,vader_label,sentiment,churn,sent_frac_Negative,sent_frac_Neutral,sent_frac_Positive
CUST00002,84300,21075.0,24000.0,8025.0,10000.0,2.75,11,187.0,187,22.0,37,37.0,0.051049999999999984,-0.009050000000000002,0.6808,-0.4585,0.237,0.214,0.5489999999999999,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.0,0.25,0.75
CUST00003,130150,32537.5,42500.0,9512.5,11500.0,3.5,14,328.0,328,59.0,18,18.0,0.276875,0.50615,0.5719,-0.4767,0.4295,0.09575,0.47475,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.25,0.25,0.5
CUST00004,349000,69800.0,48000.0,33400.0,12000.0,2.4,12,33.0,33,29.0,3,3.0,0.30872,0.4201,0.5719,-0.3089,0.40659999999999996,0.0858,0.5075999999999999,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.0,0.4,0.6
CUST00006,176500,35300.0,30000.0,15220.0,8000.0,3.2,16,193.0,193,45.0,23,23.0,0.06949999999999999,0.4201,0.4404,-0.4767,0.2644,0.1532,0.5824,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.4,0.4,0.2
CUST00007,450,150.0,100.0,66.66666666666667,50.0,2.6666666666666665,8,359.0,359,44.0,28,28.0,0.29893333333333333,0.5719,0.8016,-0.4767,0.47700000000000004,0.12766666666666668,0.3953333333333333,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.3333333333333333,0.0,0.6666666666666666
CUST00010,205500,51375.0,35150.0,28800.0,22550.0,2.25,9,258.0,258,36.0,15,15.0,0.244,0.4404,0.5719,-0.4767,0.37224999999999997,0.09575,0.532,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.25,0.5,0.25
CUST00011,136550,22758.333333333332,30000.0,7358.333333333333,10000.0,3.1666666666666665,19,204.0,204,46.0,1,1.0,0.3423833333333333,0.4404,0.8016,-0.3089,0.35833333333333334,0.0715,0.5701666666666666,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.16666666666666666,0.5,0.3333333333333333
CUST00012,219400,54850.0,47000.0,26775.0,18500.0,3.0,12,250.0,250,34.0,51,51.0,0.047599999999999976,0.047599999999999976,0.5719,-0.4767,0.3245,0.1915,0.484,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.5,0.0,0.5
CUST00016,45100,22550.0,22550.0,7550.0,7550.0,2.0,4,64.0,64,29.0,9,9.0,-0.01815,-0.01815,0.4404,-0.4767,0.21,0.1915,0.5985,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.5,0.5,0.0
CUST00017,150400,30080.0,30000.0,9420.0,12000.0,3.4,17,202.0,202,63.0,51,51.0,0.09579999999999997,0.4201,0.5719,-0.4767,0.3102,0.1532,0.5366,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.4,0.2,0.4
CUST00018,441150,63021.42857142857,36000.0,15721.42857142857,12000.0,3.4285714285714284,24,68.0,68,57.0,7,7.0,0.30252857142857137,0.4404,0.5719,-0.4585,0.40700000000000003,0.061142857142857145,0.5318571428571428,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143
CUST00019,647300,129460.0,48000.0,27020.0,12000.0,4.0,20,311.0,311,37.0,7,7.0,0.42538,0.6808,0.8016,-0.4767,0.4516,0.0766,0.4718,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.2,0.2,0.6
CUST00020,99500,19900.0,15000.0,9620.0,15000.0,2.8,14,146.0,146,36.0,55,55.0,0.31145999999999996,0.5719,0.8016,-0.3089,0.4426,0.1716,0.3858,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.0,0.4,0.6
CUST00021,255700,42616.666666666664,300.0,10050.0,100.0,2.8333333333333335,17,257.0,257,56.0,37,37.0,0.19936666666666666,0.43025,0.6808,-0.4585,0.34650000000000003,0.14266666666666666,0.5108333333333334,East,Corporate,Male,Electronics,Positive,Positive,Positive,0.0,0.0,0.16666666666666666,0.8333333333333334
