category,price,quantity,total_value,age,gender,region,segment,churn,tenure_months,sentiment,sale_year,sale_month,sale_quarter,sale_day_of_week,sale_is_weekend,days_since_last_purchase,avg_order_value,price_per_unit,high_value_customer,bulk_buyer,tenure_years,new_customer,loyal_customer,recent_customer,at_risk_customer,age_group,price_category,total_clv,avg_order_value_customer,order_frequency,clv_per_month,feedback_length,feedback_word_count,gender_encoded,region_encoded,segment_encoded,sentiment_encoded,category_encoded,age_group_encoded,price_category_encoded
Furniture,12000,2,24000,40,Female,West,Small Business,1,37,Negative,2020,1,1,1,0,271,24000,12000,0,0,3.0833333333333335,0,1,0,1,36-45,Medium,138000,34500.0,4,3631.5789473684213,40,6,0,3,2,0,1,2,2
Electronics,45000,2,90000,50,Female,West,Corporate,0,44,Positive,2023,11,4,4,0,304,90000,45000,0,0,3.6666666666666665,0,1,0,1,46-55,High,400000,80000.0,5,8888.888888888889,27,3,0,3,1,2,0,3,0
Electronics,45000,4,180000,33,Male,South,Corporate,0,25,Neutral,2022,7,3,0,0,57,180000,45000,1,0,2.0833333333333335,0,0,0,0,26-35,High,350500,50071.43,7,13480.76923076923,32,5,1,2,1,1,0,1,0
Electronics,12000,1,12000,41,Male,West,Consumer,0,56,Negative,2023,10,4,2,0,135,12000,12000,0,0,4.666666666666667,0,1,0,0,36-45,Medium,430000,107500.0,4,7543.859649122807,29,5,1,3,0,0,0,2,2
Furniture,12000,4,48000,60,Female,West,Consumer,0,52,Negative,2023,9,3,2,0,231,48000,12000,0,0,4.333333333333333,0,1,0,1,55+,Medium,342200,42775.0,8,6456.603773584906,29,5,0,3,0,0,1,4,2
Electronics,15000,1,15000,57,Male,South,Consumer,0,59,Positive,2022,5,2,5,1,347,15000,15000,0,0,4.916666666666667,0,1,0,1,55+,Medium,126200,21033.33,6,2103.3333333333335,27,3,1,2,0,2,0,4,2
Electronics,45000,3,135000,35,Male,East,Corporate,1,35,Negative,2020,4,2,6,1,186,135000,45000,1,0,2.9166666666666665,0,0,0,1,26-35,High,417400,83480.0,5,11594.444444444445,40,6,1,0,1,0,0,1,0
Electronics,45000,5,225000,24,Female,South,Small Business,1,57,Positive,2023,1,1,5,1,219,225000,45000,1,0,4.75,0,1,0,1,18-25,High,494000,70571.43,7,8517.241379310344,27,3,0,2,2,2,0,0,0
Electronics,25000,2,50000,53,Male,East,Consumer,0,11,Negative,2022,5,2,0,0,301,50000,25000,0,0,0.9166666666666666,0,0,0,1,46-55,Medium,86000,43000.0,2,7166.666666666667,29,5,1,0,0,0,0,3,2
Electronics,45000,5,225000,42,Male,West,Corporate,0,10,Neutral,2020,6,2,4,0,256,225000,45000,1,0,0.8333333333333334,0,0,0,1,36-45,High,306000,76500.0,4,27818.18181818182,32,5,1,3,1,1,0,2,0
Furniture,12000,4,48000,61,Male,East,Corporate,0,55,Positive,2021,8,3,5,1,54,48000,12000,0,0,4.583333333333333,0,1,0,0,55+,Medium,63000,31500.0,2,1125.0,41,7,1,0,1,2,1,4,2
Electronics,25000,5,125000,55,Female,West,Small Business,1,1,Positive,2022,3,1,5,1,10,125000,25000,1,0,0.08333333333333333,1,0,1,0,46-55,Medium,175100,58366.67,3,87550.0,30,4,0,3,2,2,0,3,2
Office Supplies,100,1,100,54,Female,North,Corporate,1,31,Positive,2023,11,4,6,1,247,100,100,0,0,2.5833333333333335,0,0,0,1,46-55,Low,679800,75533.33,9,21243.75,41,7,0,1,1,2,2,3,1
Furniture,12000,1,12000,28,Male,East,Consumer,0,20,Positive,2020,2,1,4,0,77,12000,12000,0,0,1.6666666666666667,0,0,0,0,26-35,Medium,206000,51500.0,4,9809.52380952381,27,3,1,0,0,2,1,1,2
Electronics,45000,5,225000,51,Male,South,Consumer,0,18,Positive,2023,11,4,3,0,127,225000,45000,1,0,1.5,0,0,0,0,46-55,High,233000,116500.0,2,12263.157894736842,30,4,1,2,0,2,0,3,0
Electronics,15000,4,60000,45,Female,South,Consumer,0,44,Neutral,2022,10,4,0,0,147,60000,15000,0,0,3.6666666666666665,0,1,0,0,36-45,Medium,336000,84000.0,4,7466.666666666667,34,4,0,2,0,1,0,2,2
Office Supplies,100,4,400,49,Male,North,Small Business,0,9,Negative,2021,3,1,3,0,130,400,100,0,0,0.75,0,0,0,0,46-55,Low,303400,75850.0,4,30340.0,29,5,1,1,2,0,2,3,1
Electronics,45000,5,225000,33,Female,East,Small Business,0,3,Negative,2020,5,2,3,0,286,225000,45000,1,0,0.25,1,0,0,1,26-35,High,985000,197000.0,5,246250.0,40,6,0,0,2,0,0,1,0
Electronics,70000,2,140000,60,Female,West,Consumer,1,16,Neutral,2021,4,2,2,0,264,140000,70000,1,0,1.3333333333333333,0,0,0,1,55+,Premium,176000,88000.0,2,10352.941176470587,25,5,0,3,0,1,0,4,3
Furniture,12000,4,48000,49,Female,East,Corporate,1,41,Neutral,2020,12,4,2,0,138,48000,12000,0,0,3.4166666666666665,0,1,0,0,46-55,Medium,519200,74171.43,7,12361.904761904761,32,5,0,0,1,1,1,3,2
Electronics,12000,1,12000,32,Female,South,Small Business,0,14,Positive,2022,10,4,4,0,91,12000,12000,0,0,1.1666666666666667,0,0,0,0,26-35,Medium,136000,45333.33,3,9066.666666666666,27,3,0,2,2,2,0,1,2
Electronics,45000,4,180000,46,Female,North,Corporate,1,30,Neutral,2023,6,2,1,0,263,180000,45000,1,0,2.5,0,0,0,1,46-55,High,710000,101428.57,7,22903.225806451614,34,4,0,1,1,1,0,3,0
Electronics,15000,4,60000,48,Female,North,Corporate,0,25,Neutral,2022,8,3,5,1,192,60000,15000,0,0,2.0833333333333335,0,0,0,1,46-55,Medium,531400,88566.67,6,20438.46153846154,25,5,0,1,1,1,0,3,2
Electronics,12000,5,60000,25,Male,East,Corporate,0,41,Positive,2020,12,4,5,1,180,60000,12000,0,0,3.4166666666666665,0,1,0,0,18-25,Medium,394000,65666.67,6,9380.952380952382,30,4,1,0,1,2,0,0,2
Electronics,12000,2,24000,56,Male,West,Consumer,0,26,Positive,2023,6,2,4,0,72,24000,12000,0,0,2.1666666666666665,0,0,0,0,55+,Medium,123500,30875.0,4,4574.074074074074,30,4,1,3,0,2,0,4,2
Office Supplies,100,5,500,52,Male,East,Consumer,0,40,Negative,2022,4,2,1,0,225,500,100,0,0,3.3333333333333335,0,1,0,1,46-55,Low,237500,39583.33,6,5792.682926829269,40,6,1,0,0,0,2,3,1
Electronics,25000,2,50000,45,Male,East,Consumer,1,19,Neutral,2020,11,4,5,1,170,50000,25000,0,0,1.5833333333333333,0,0,0,0,36-45,Medium,871000,145166.67,6,43550.0,39,6,1,0,0,1,0,2,2
Furniture,12000,1,12000,44,Male,West,Consumer,0,2,Positive,2022,5,2,1,0,363,12000,12000,0,0,0.16666666666666666,1,0,0,1,36-45,Medium,281000,56200.0,5,93666.66666666667,30,4,1,3,0,2,1,2,2
Electronics,12000,5,60000,56,Female,West,Consumer,0,31,Positive,2021,1,1,2,0,283,60000,12000,0,0,2.5833333333333335,0,0,0,1,55+,Medium,219000,43800.0,5,6843.75,27,3,0,3,0,2,0,4,2
Electronics,45000,1,45000,32,Male,West,Small Business,0,2,Neutral,2022,5,2,5,1,279,45000,45000,0,0,0.16666666666666666,1,0,0,1,26-35,High,325000,162500.0,2,108333.33333333333,39,6,1,3,2,1,0,1,0
Furniture,8000,2,16000,19,Male,North,Corporate,0,49,Neutral,2021,12,4,6,1,239,16000,8000,0,0,4.083333333333333,0,1,0,1,18-25,Low,76000,38000.0,2,1520.0,34,4,1,1,1,1,1,0,1
Electronics,70000,5,350000,21,Female,West,Corporate,0,20,Positive,2022,11,4,5,1,319,350000,70000,1,0,1.6666666666666667,0,0,0,1,18-25,Premium,482000,160666.67,3,22952.380952380954,30,4,0,3,1,2,0,0,3
Electronics,3000,1,3000,22,Male,East,Corporate,1,1,Positive,2020,11,4,2,0,208,3000,3000,0,0,0.08333333333333333,1,0,0,1,18-25,Low,428000,85600.0,5,214000.0,27,3,1,0,1,2,0,0,1
Electronics,45000,5,225000,45,Female,South,Corporate,0,36,Neutral,2020,5,2,6,1,211,225000,45000,1,0,3.0,0,1,0,1,36-45,High,794000,158800.0,5,21459.45945945946,34,4,0,2,1,1,0,2,0
Electronics,70000,1,70000,29,Male,East,Consumer,0,3,Neutral,2022,8,3,6,1,33,70000,70000,0,0,0.25,1,0,0,0,26-35,Premium,349000,69800.0,5,87250.0,27,4,1,0,0,1,0,1,3
Electronics,12000,1,12000,63,Male,West,Consumer,0,33,Neutral,2022,10,4,2,0,31,12000,12000,0,0,2.75,0,0,0,0,55+,Medium,294500,49083.33,6,8661.764705882353,25,5,1,3,0,1,0,4,2
Electronics,12000,1,12000,30,Male,East,Consumer,1,1,Positive,2020,5,2,5,1,165,12000,12000,0,0,0.08333333333333333,1,0,0,0,26-35,Medium,659000,109833.33,6,329500.0,30,4,1,0,0,2,0,1,2
Furniture,8000,5,40000,47,Male,West,Small Business,0,25,Positive,2023,12,4,6,1,172,40000,8000,0,0,2.0833333333333335,0,0,0,0,46-55,Low,232000,38666.67,6,8923.076923076924,27,3,1,3,2,2,1,3,1
Electronics,15000,2,30000,40,Female,West,Small Business,0,6,Negative,2021,3,1,0,0,277,30000,15000,0,0,0.5,1,0,0,1,36-45,Medium,76000,25333.33,3,10857.142857142857,29,5,0,3,2,0,0,2,2
Furniture,8000,2,16000,20,Male,East,Small Business,1,27,Positive,2022,6,2,2,0,132,16000,8000,0,0,2.25,0,0,0,0,18-25,Low,19000,9500.0,2,678.5714285714286,30,4,1,0,2,2,1,0,1
