customer_id,orders,tenure_days,recency_days,monetary_sum,monetary_median,monetary_max,avg_quantity,max_quantity,avg_price,dow_1_rate,dow_2_rate,dow_3_rate,dow_4_rate,dow_5_rate,dow_6_rate,unique_categories,unique_products,top_category_share,sent_pos,sent_neg,sent_neu,neg_rate,recent_neg_flag,feedback_count,feedback_rate,age_latest,high_ticket_rate,churn,aov,orders_per_30d,monetary_per_30d,gender_Male,region_North,region_South,region_West,top_category_Furniture,top_category_Office Supplies,last_sentiment_Neutral,last_sentiment_Positive
CUST00001,2,41,185,249000.0,124500.0,225000.0,3.5,5.0,28500.0,0.0,0.0,0.5,0.5,0.0,0.0,2,2,0.5,1,0,1,0.0,0,2,1.0,43,0.5,0,124500.0,1.4634146341463414,182195.1219512195,0,0,1,0,0,0,0,1
CUST00002,4,439,272,84300.0,24000.0,36000.0,2.75,3.0,8025.0,0.0,0.5,0.0,0.25,0.0,0.0,3,4,0.5,2,2,0,0.5,0,4,1.0,22,0.0,1,21075.0,0.2733485193621868,5760.820045558086,1,0,0,0,1,0,0,0
CUST00003,4,1019,242,130150.0,42500.0,45000.0,3.5,5.0,9512.5,0.0,0.25,0.0,0.5,0.25,0.0,3,3,0.5,3,1,0,0.25,0,4,1.0,59,0.0,0,32537.5,0.11776251226692835,3831.6977428851815,0,1,0,0,0,0,0,1
CUST00004,5,920,455,349000.0,48000.0,210000.0,2.4,4.0,33400.0,0.0,0.0,0.2,0.2,0.2,0.4,2,4,0.8,4,1,0,0.2,0,5,1.0,29,0.2,0,69800.0,0.16304347826086957,11380.434782608696,1,0,0,0,0,0,0,1
CUST00005,1,0,811,8000.0,8000.0,8000.0,1.0,1.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0,1,0,1.0,0,1,1.0,53,0.0,0,8000.0,30.0,240000.0,0,0,0,1,1,0,0,0
CUST00006,5,1071,216,176500.0,30000.0,90000.0,3.2,5.0,15220.0,0.2,0.0,0.0,0.2,0.2,0.0,3,4,0.4,3,2,0,0.4,0,5,1.0,45,0.0,0,35300.0,0.1400560224089636,4943.977591036414,0,1,0,0,0,0,0,0
CUST00007,3,1286,164,450.0,100.0,250.0,2.6666666666666665,5.0,66.66666666666667,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2,1.0,2,1,0,0.3333333333333333,0,3,1.0,44,0.0,0,150.0,0.06998444790046657,10.497667185069984,1,0,0,0,0,1,0,1
CUST00008,4,893,320,410200.0,100000.0,210000.0,3.75,4.0,30012.5,0.25,0.0,0.25,0.5,0.0,0.0,2,3,0.75,4,0,0,0.0,0,4,1.0,28,0.25,1,102550.0,0.1343784994400896,13780.515117581188,0,0,0,0,0,0,0,1
CUST00009,4,503,163,234000.0,60000.0,90000.0,2.0,2.0,29250.0,0.0,0.0,0.0,0.25,0.75,0.0,2,3,0.75,3,0,1,0.0,0,4,1.0,61,0.0,0,58500.0,0.2385685884691849,13956.262425447318,0,0,1,0,0,0,1,0
CUST00010,4,518,901,205500.0,35150.0,135000.0,2.25,3.0,28800.0,0.5,0.25,0.0,0.0,0.0,0.0,2,3,0.5,3,1,0,0.25,0,4,1.0,36,0.0,1,51375.0,0.23166023166023167,11901.544401544403,0,0,0,1,0,0,0,1
CUST00011,6,1354,46,136550.0,30000.0,40000.0,3.1666666666666665,5.0,7358.333333333333,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,3,5,0.3333333333333333,4,1,1,0.16666666666666666,0,6,1.0,46,0.0,1,22758.333333333332,0.1329394387001477,3025.480059084195,1,0,1,0,0,0,1,0
CUST00012,4,464,582,219400.0,47000.0,125000.0,3.0,5.0,26775.0,0.0,0.0,0.5,0.25,0.25,0.0,2,4,0.75,2,2,0,0.5,0,4,1.0,34,0.0,0,54850.0,0.25862068965517243,14185.344827586207,1,1,0,0,0,0,0,0
CUST00013,1,0,229,50.0,50.0,50.0,1.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0,1,0,1.0,0,1,1.0,39,0.0,0,50.0,30.0,1500.0,1,0,1,0,0,1,0,0
CUST00014,6,956,449,766000.0,59000.0,350000.0,2.8333333333333335,5.0,39500.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,2,4,0.8333333333333334,5,1,0,0.16666666666666666,0,6,1.0,55,0.3333333333333333,1,127666.66666666667,0.18828451882845187,24037.656903765692,1,0,0,0,0,0,0,1
