sale_id,customer_id,sentiment_category,compound,total_value,price,quantity,feedback_text,word_count,sentence_count
S000001,CUST01553,Negative,-0.4767,24000,12000,2,"Terrible experience, will not buy again.",3,1
S000002,CUST00161,Positive,0.5719,90000,45000,2,Excellent customer service.,3,1
S000003,CUST00627,Positive,0.4404,180000,45000,4,Product quality could be better.,4,1
S000004,CUST01291,Negative,-0.4585,12000,12000,1,"Delivery was late, not happy.",3,1
S000005,CUST01456,Negative,-0.4585,48000,12000,4,"Delivery was late, not happy.",3,1
S000006,CUST00634,Positive,0.4404,250,50,5,Product quality could be better.,4,1
S000007,CUST01463,Positive,0.5719,15000,15000,1,Excellent customer service.,3,1
S000008,CUST00235,Negative,-0.4767,135000,45000,3,"Terrible experience, will not buy again.",3,1
S000009,CUST01822,Positive,0.5719,225000,45000,5,Excellent customer service.,3,1
S000010,CUST01772,Negative,-0.4585,50000,25000,2,"Delivery was late, not happy.",3,1
S000011,CUST00366,Positive,0.4404,225000,45000,5,Product quality could be better.,4,1
S000012,CUST01896,Positive,0.6808,48000,12000,4,"Worth the price, happy with the purchase.",4,1
S000013,CUST00283,Positive,0.8016,125000,25000,5,"Great product, very satisfied.",3,1
S000014,CUST01895,Positive,0.6808,100,100,1,"Worth the price, happy with the purchase.",4,1
S000015,CUST00549,Positive,0.5719,12000,12000,1,Excellent customer service.,3,1
S000016,CUST01921,Positive,0.8016,225000,45000,5,"Great product, very satisfied.",3,1
S000017,CUST01430,Negative,-0.3089,60000,15000,4,"Met expectations, nothing special.",4,1
S000018,CUST01020,Negative,-0.4585,400,100,4,"Delivery was late, not happy.",3,1
S000019,CUST00379,Negative,-0.4767,225000,45000,5,"Terrible experience, will not buy again.",3,1
S000020,CUST00391,Positive,0.4404,140000,70000,2,Easy to use and reliable.,3,1
S000021,CUST00485,Positive,0.4404,48000,12000,4,Product quality could be better.,4,1
S000022,CUST00055,Positive,0.5719,12000,12000,1,Excellent customer service.,3,1
S000023,CUST00429,Positive,0.4404,150,50,3,Product quality could be better.,4,1
S000024,CUST01842,Negative,-0.3089,180000,45000,4,"Met expectations, nothing special.",4,1
S000025,CUST01943,Positive,0.4404,60000,15000,4,Easy to use and reliable.,3,1
S000026,CUST01649,Positive,0.8016,60000,12000,5,"Great product, very satisfied.",3,1
S000027,CUST01489,Positive,0.8016,24000,12000,2,"Great product, very satisfied.",3,1
S000028,CUST00350,Negative,-0.4767,500,100,5,"Terrible experience, will not buy again.",3,1
S000029,CUST01285,Neutral,0.0,50000,25000,2,Too expensive for the features offered.,4,1
S000030,CUST00067,Positive,0.8016,12000,12000,1,"Great product, very satisfied.",3,1
S000031,CUST00583,Positive,0.5719,60000,12000,5,Excellent customer service.,3,1
S000032,CUST00797,Neutral,0.0,45000,45000,1,Too expensive for the features offered.,4,1
S000033,CUST00901,Negative,-0.3089,16000,8000,2,"Met expectations, nothing special.",4,1
S000034,CUST00251,Positive,0.8016,350000,70000,5,"Great product, very satisfied.",3,1
S000035,CUST01642,Positive,0.5719,3000,3000,1,Excellent customer service.,3,1
S000036,CUST00048,Negative,-0.3089,225000,45000,5,"Met expectations, nothing special.",4,1
S000037,CUST00004,Positive,0.4201,70000,70000,1,Highly recommend to others.,3,1
S000038,CUST00972,Positive,0.4404,12000,12000,1,Easy to use and reliable.,3,1
S000039,CUST01779,Positive,0.8016,12000,12000,1,"Great product, very satisfied.",3,1
S000040,CUST01345,Positive,0.5719,40000,8000,5,Excellent customer service.,3,1
S000041,CUST01664,Negative,-0.4585,30000,15000,2,"Delivery was late, not happy.",3,1
S000042,CUST00266,Positive,0.8016,16000,8000,2,"Great product, very satisfied.",3,1
S000043,CUST01920,Negative,-0.4767,400,100,4,"Terrible experience, will not buy again.",3,1
S000044,CUST01297,Negative,-0.3089,9000,3000,3,"Met expectations, nothing special.",4,1
S000045,CUST01930,Neutral,0.0,70000,70000,1,Too expensive for the features offered.,4,1
S000046,CUST00986,Positive,0.4404,48000,12000,4,Product quality could be better.,4,1
S000047,CUST01770,Negative,-0.3089,36000,12000,3,"Met expectations, nothing special.",4,1
S000048,CUST00589,Positive,0.8016,9000,3000,3,"Great product, very satisfied.",3,1
S000049,CUST01870,Negative,-0.4585,48000,12000,4,"Delivery was late, not happy.",3,1
S000050,CUST01726,Positive,0.5719,70000,70000,1,Excellent customer service.,3,1
S000051,CUST01631,Positive,0.6808,45000,45000,1,"Worth the price, happy with the purchase.",4,1
