date,predicted_sales
2024-01-01,8697182.050518358
2024-02-01,8720383.627980396
2024-03-01,8718478.331285618
2024-04-01,8522445.506899273
2024-05-01,8542813.191655248
2024-06-01,8604592.70462603
2024-07-01,8521699.098956844
2024-08-01,8674344.849194033
2024-09-01,8852097.473588036
2024-10-01,8837797.123734508
2024-11-01,8993276.766677758
2024-12-01,9107344.581406204
2025-01-01,8718610.014187297
2025-02-01,8741811.591649335
2025-03-01,8739906.294954559
2025-04-01,8543873.470568212
2025-05-01,8564241.155324187
2025-06-01,8626020.668294968
2025-07-01,8543127.062625784
2025-08-01,8695772.812862972
2025-09-01,8873525.437256975
2025-10-01,8859225.087403446
2025-11-01,9014704.730346696
2025-12-01,9128772.545075145
