customer_id,feedback_text,sentiment_category,compound,dominant_topic,topic_probability
CUST01553,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00161,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00627,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01291,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01456,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00634,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01463,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00235,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01822,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01772,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00366,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01896,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00283,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01895,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00549,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01921,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01430,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01020,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00379,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00391,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00485,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00055,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00429,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01842,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01943,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01649,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01489,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00350,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
